id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,myCost,myCostLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01KBT761TS58EXGXQZ4JQECYMM,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:10.585646512Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:10.585646512Z,,,01KBT734QBSSKVCT6FY8H827M7,2025-12-06T16:16:10.585646512Z,01KBT760Y0B15RNQ60AR931TRH,2025-12-06T16:16:10.585646512Z,01KBT760Z76G6JBWBA9E10RH4D,2025-12-06T16:16:10.585646512Z,true,2025-12-06T16:16:13.35588126Z
01KBT8QHNAG1YJ2RYWR0CGWAF3,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:12.426671203Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:12.426671203Z,11,2025-12-06T16:43:17.14164007Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:43:12.426671203Z,01KBT8JC56QPA0CY91YDPZ1HNB,2025-12-06T16:43:12.426671203Z,01KBT8JC9CV89866B6CE9ZZBFS,2025-12-06T16:43:12.426671203Z,true,2025-12-06T16:43:18.341544128Z
01KBT8RCQH4YVXQ47CDV1B6P0F,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:40.145599044Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:40.145599044Z,,,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:43:40.145599044Z,01KBT8JC57QP16MSB0DDP76DTA,2025-12-06T16:43:40.145599044Z,01KBT8JCB3CV7979SK183HC968,2025-12-06T16:43:40.145599044Z,true,2025-12-06T16:43:41.538978348Z
01KBT7BVH1XE2JZ7SJ91H4KQ3M,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:19:20.737332271Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:19:20.737332271Z,,,01KBT734QBSSKVCT6FY8H827M7,2025-12-06T16:19:20.737332271Z,01KBT760Y7WKP7JCRK5XHC36ED,2025-12-06T16:19:20.737332271Z,01KBT7610YXWS7H0JAY8Y4FJG4,2025-12-06T16:19:20.737332271Z,true,2025-12-06T16:19:30.649268289Z
01KBT8RF6D7J9N97R4V42QKD53,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:42.669203792Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:42.669203792Z,8,2025-12-06T16:43:52.101811147Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:43:42.669203792Z,01KBT8JC57QP16MSB0DDP76DTA,2025-12-06T16:43:42.669203792Z,01KBT8JCB4A7DBW60DXT0RD6C4,2025-12-06T16:43:42.669203792Z,true,2025-12-06T16:43:53.679484471Z
01KBT8RX0S0R8YTD6RQDX5DJ8W,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:56.825671424Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:56.825671424Z,1,2025-12-06T16:43:58.447817644Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:43:56.825671424Z,01KBT8JC58NYCXZCWG2RR5PA9R,2025-12-06T16:43:56.825671424Z,01KBT8JCBHBQDYYHPEN6N6ZPM3,2025-12-06T16:43:56.825671424Z,true,2025-12-06T16:44:00.241824678Z
01KBT76BKR0QHZV2T4G2NB7ES3,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:20.600544278Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:20.600544278Z,18,2025-12-06T16:16:39.511872999Z,01KBT734QBSSKVCT6FY8H827M7,2025-12-06T16:16:20.600544278Z,01KBT760Y0B15RNQ60AR931TRH,2025-12-06T16:16:20.600544278Z,01KBT760Z76G6JBWBAA2MAHT9B,2025-12-06T16:16:20.600544278Z,true,2025-12-06T16:16:40.913980461Z
01KBT7ATGPPGYFDC3BJEJRJ42B,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:18:46.93485827Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:18:46.93485827Z,,,01KBT6PMKC0S215V56B18R79KJ,2025-12-06T16:18:46.93485827Z,01KBT760Y4G0WHXA8QFP66KS1Z,2025-12-06T16:18:46.93485827Z,01KBT7610KQ5292P7Q8RCDR5P8,2025-12-06T16:18:46.93485827Z,true,2025-12-06T16:18:54.308373525Z
01KBT8P79QCBNGNZR61RQ9VAX6,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:42:29.047029127Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:42:29.047029127Z,,,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:42:29.047029127Z,01KBT8JC54DTHF92S8VW79J64E,2025-12-06T16:42:29.047029127Z,01KBT8JC82145R0G3HFNJGPHM2,2025-12-06T16:42:29.047029127Z,true,2025-12-06T16:42:33.927590742Z
01KBT8QHN9B02NZCB7YC1M80EK,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:12.425953181Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:12.425953181Z,20,2025-12-06T16:43:25.726734217Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:43:12.425953181Z,01KBT8JC56QPA0CY91YDPZ1HNB,2025-12-06T16:43:12.425953181Z,01KBT8JC9CV89866B6CE9ZZBFS,2025-12-06T16:43:12.425953181Z,true,2025-12-06T16:43:27.126714931Z
01KBT8N2K6VD1DYFGE8FTFD0T9,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:41:51.462876228Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:41:51.462876228Z,,,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:41:51.462876228Z,01KBT8JC52TN0BGQJ72TB7R76K,2025-12-06T16:41:51.462876228Z,01KBT8JC6SJ8D377T3CDEN7CMJ,2025-12-06T16:41:51.462876228Z,true,2025-12-06T16:41:55.144196964Z
01KBT8PC36EGK0SJ6M1VQ757BB,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:42:33.958935795Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:42:33.958935795Z,20,2025-12-06T16:42:40.871679579Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:42:33.958935795Z,01KBT8JC54DTHF92S8VW79J64E,2025-12-06T16:42:33.958935795Z,01KBT8JC83B32RB8B35PNCXGK5,2025-12-06T16:42:33.958935795Z,true,2025-12-06T16:42:42.386685278Z
01KBT8ST4JN74ZSB1BDCV42GBN,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:26.642115534Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:26.642115534Z,,,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:44:26.642115534Z,01KBT8JC5BFMT46X1WT6KH4T9Q,2025-12-06T16:44:26.642115534Z,01KBT8JCCZSN18QW3K7NHT6W4K,2025-12-06T16:44:26.642115534Z,true,2025-12-06T16:44:29.276683893Z
01KBT8T23NYDC44RYX811PPBGY,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:34.805826034Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:34.805826034Z,,,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:44:34.805826034Z,01KBT8JC5D3RTVXQJX8RH8JFKQ,2025-12-06T16:44:34.805826034Z,01KBT8JCDBQCBG1S1BYHXB2CM8,2025-12-06T16:44:34.805826034Z,true,2025-12-06T16:44:36.052709027Z
01KBT7BVGZ94NTHVFRGG3PTKXY,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:19:20.735536409Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:19:20.735536409Z,,,01KBT6PMKC0S215V56B18R79KJ,2025-12-06T16:19:20.735536409Z,01KBT760Y7WKP7JCRK5XHC36ED,2025-12-06T16:19:20.735536409Z,01KBT7610YXWS7H0JAY8Y4FJG4,2025-12-06T16:19:20.735536409Z,true,2025-12-06T16:19:41.521409051Z
01KBT8MEZAXAZ2MSFSPFK84A9W,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:41:31.370801703Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:41:31.370801703Z,8,2025-12-06T16:41:50.631698948Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:41:31.370801703Z,01KBT8JC50PPEYW5YGKMAJZSGS,2025-12-06T16:41:31.370801703Z,01KBT8JC69523A0PTB0H90DEPX,2025-12-06T16:41:31.370801703Z,,
